City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
291,Gondanglegi,ID,-7.7479,112.0132,82.22,65,88,11.54,overcast clouds
292,Alice Springs,AU,-23.7,133.8833,67.55,37,75,18.41,broken clouds
293,Novikovo,RU,51.1537,37.8879,49.5,69,100,15.26,moderate rain
294,Auki,SB,-8.7676,160.7034,84.96,69,31,5.3,scattered clouds
295,Sao Filipe,CV,14.8961,-24.4956,79.16,82,57,5.03,broken clouds
296,Eyl,SO,7.9803,49.8164,78.62,80,87,18.01,overcast clouds
297,Evensk,RU,61.95,159.2333,46.51,96,100,12.82,light rain
298,Ingham,US,42.6,-84.3833,67.95,72,1,0.0,clear sky
299,Helong,CN,42.5397,128.9972,71.17,45,100,3.18,overcast clouds
300,Lufkin,US,31.3382,-94.7291,78.93,91,0,4.36,clear sky
301,Saint-Joseph,RE,-21.3667,55.6167,70.16,77,100,13.82,light rain
302,Luderitz,NA,-26.6481,15.1594,53.29,87,32,6.08,scattered clouds
303,Necochea,AR,-38.5473,-58.7368,51.04,84,6,11.05,clear sky
304,Chirongui,YT,-12.9319,45.1483,76.93,77,68,20.47,broken clouds
305,Rawson,AR,-43.3002,-65.1023,52.95,49,4,8.05,clear sky
306,Leua,SK,48.2156,18.6071,57.49,86,51,6.69,broken clouds
307,Fukue,JP,32.6881,128.8419,75.72,71,13,19.13,few clouds
308,Sola,VU,-13.8833,167.55,79.9,78,11,21.45,few clouds
309,Maracaibo,VE,10.6317,-71.6406,82.74,68,74,14.92,broken clouds
310,Chenghai,CN,23.4632,116.768,84.45,69,3,5.03,clear sky
311,Makungu,TZ,-8.7333,35.2833,57.27,85,9,2.06,clear sky
312,Vulturu,RO,45.6167,27.4167,64.53,52,100,5.84,overcast clouds
313,Fort Nelson,CA,58.8053,-122.7002,47.03,75,100,5.59,overcast clouds
314,Nome,US,64.5011,-165.4064,47.16,71,90,13.8,overcast clouds
315,Sarkand,KZ,45.41,79.9186,65.46,27,73,4.9,broken clouds
316,Cayenne,GF,4.9333,-52.3333,83.08,80,0,1.99,clear sky
317,Timra,SE,62.487,17.3257,42.48,93,90,3.44,overcast clouds
